date,sp500
2016-04-20,2102.3999
2016-04-21,2091.48
2016-04-22,2091.5801
2016-04-25,2087.79
2016-04-26,2091.7
2016-04-27,2095.1499
2016-04-28,2075.8101
2016-04-29,2065.3
2016-05-02,2081.4299
2016-05-03,2063.3701
2016-05-04,2051.1201
2016-05-05,2050.6299
2016-05-06,2057.1399
2016-05-09,2058.6899
2016-05-10,2084.3899
2016-05-11,2064.46
2016-05-12,2064.1101
2016-05-13,2046.61
2016-05-16,2066.6599
2016-05-17,2047.21
2016-05-18,2047.63
2016-05-19,2040.04
2016-05-20,2052.3201
2016-05-23,2048.04
2016-05-24,2076.0601
2016-05-25,2090.54
2016-05-26,2090.1001
2016-05-27,2099.0601
2016-05-30,
2016-05-31,2096.96
2016-06-01,2099.3301
2016-06-02,2105.26
2016-06-03,2099.1299
2016-06-06,2109.4099
2016-06-07,2112.1299
2016-06-08,2119.1201
2016-06-09,2115.48
2016-06-10,2096.0701
2016-06-13,2079.0601
2016-06-14,2075.3201
2016-06-15,2071.5
2016-06-16,2077.99
2016-06-17,2071.22
2016-06-20,2083.25
2016-06-21,2088.8999
2016-06-22,2085.45
2016-06-23,2113.3201
2016-06-24,2037.41
2016-06-27,2000.54
2016-06-28,2036.09
2016-06-29,2070.77
2016-06-30,2098.8601
2016-07-01,2102.95
2016-07-04,
2016-07-05,2088.55
2016-07-06,2099.73
2016-07-07,2097.8999
2016-07-08,2129.8999
2016-07-11,2137.1599
2016-07-12,2152.1399
2016-07-13,2152.4299
2016-07-14,2163.75
2016-07-15,2161.74
2016-07-18,2166.8899
2016-07-19,2163.78
2016-07-20,2173.02
2016-07-21,2165.1699
2016-07-22,2175.03
2016-07-25,2168.48
2016-07-26,2169.1799
2016-07-27,2166.5801
2016-07-28,2170.0601
2016-07-29,2173.6001
2016-08-01,2170.8401
2016-08-02,2157.03
2016-08-03,2163.79
2016-08-04,2164.25
2016-08-05,2182.8701
2016-08-08,2180.8899
2016-08-09,2181.74
2016-08-10,2175.49
2016-08-11,2185.79
2016-08-12,2184.05
2016-08-15,2190.1499
2016-08-16,2178.1499
2016-08-17,2182.22
2016-08-18,2187.02
2016-08-19,2183.8701
2016-08-22,2182.6399
2016-08-23,2186.8999
2016-08-24,2175.4399
2016-08-25,2172.47
2016-08-26,2169.04
2016-08-29,2180.3799
2016-08-30,2176.1201
2016-08-31,2170.95
2016-09-01,2170.8601
2016-09-02,2179.98
2016-09-05,
2016-09-06,2186.48
2016-09-07,2186.1599
2016-09-08,2181.3
2016-09-09,2127.8101
2016-09-12,2159.04
2016-09-13,2127.02
2016-09-14,2125.77
2016-09-15,2147.26
2016-09-16,2139.1599
2016-09-19,2139.1201
2016-09-20,2139.76
2016-09-21,2163.1201
2016-09-22,2177.1799
2016-09-23,2164.6899
2016-09-26,2146.1001
2016-09-27,2159.9299
2016-09-28,2171.3701
2016-09-29,2151.1299
2016-09-30,2168.27
2016-10-03,2161.2
2016-10-04,2150.49
2016-10-05,2159.73
2016-10-06,2160.77
2016-10-07,2153.74
2016-10-10,2163.6599
2016-10-11,2136.73
2016-10-12,2139.1799
2016-10-13,2132.55
2016-10-14,2132.98
2016-10-17,2126.5
2016-10-18,2139.6001
2016-10-19,2144.29
2016-10-20,2141.3401
2016-10-21,2141.1599
2016-10-24,2151.3301
2016-10-25,2143.1599
2016-10-26,2139.4299
2016-10-27,2133.04
2016-10-28,2126.4099
2016-10-31,2126.1499
2016-11-01,2111.72
2016-11-02,2097.9399
2016-11-03,2088.6599
